,1,2,3,4,5
1,11882.0,7682.0,6760.0,6286.0,6195.0
2,8281.0,4029.0,2855.0,2458.0,2204.0
3,6874.0,2870.0,1649.0,973.0,812.0
4,6375.0,2399.0,1102.0,593.0,396.0
5,6218.0,2194.0,839.0,439.0,223.0
